BACIAS,Área de Drenagem  (km²),Perímetro (km),Comprimento do rio principal (km),Comprimento total dos canais (km),Coeficiente de compacidade,Fator de forma,Índice de Circularidade,Ordem do rio principal,Densidade de drenagem (km/km²),índice de Sinuosidade,Declividade média (%),Altitude máxima  (m),Altitude mínima (m),Altitude média (m),Amplitude altimétrica (m),Diferença de cotas no talvegue (m),Extensão média do escoamento superficial (Km),Coeficiente de rugosidade,Coeficiente de escoamento do método racional,Declividade do vale (%),Tamanho
Croatá,1050,,50,,,,,,,,,,,,,440,,,,8.8,grande
Jaburu II,906,,55,,,,,,,,,,,,,239.8,,,,4.36,grande
Santo Antônio Aracatiaçu,637,,47.5,,,,,,,,,,,,,380,,,,8,grande
Arariús,561,,35,,,,,,,,,,,,,485.1,,,,13.86,grande
Tucunduba,503,,31.2,,,,,,,,,,,,,130104,,,,4.17,grande
Acaraú Mirim,494,,40,,,,,,,,,,,,,145.2,,,,3.63,média
Aracoiaba,449,,40,,,,,,,,,,,,,740,,,,18.5,média
Sítios Novos,410,,52.5,,,,,,,,,,,,,602175,,,,11.47,média
Pompeu Sobrinho,320,,27.5,,,,,,,,,,,,,130075,,,,4.73,média
Jaburu I,314,,35,,,,,,,,,,,,,339.85,,,,9.71,média
Carão,305,,46.3,,,,,,,,,,,,,709779,,,,15.33,média
Frios,279,,30,,,,,,,,,,,,,519.9,,,,17.33,média
Baú,239,,25,,,,,,,,,,,,,310,,,,12.4,média
Tejussuoca,230,,28,,,,,,,,,,,,,325.08,,,,11.61,média
São Mateus,226,,37.5,,,,,,,,,,,,,280125,,,,7.47,média
Realejo,219,,27.5,,,,,,,,,,,,,435.05,,,,15.82,média
Acarape do Meio,205,,37.5,,,,,,,,,,,,,619875,,,,16.53,média
Forquilha,191,,20,,,,,,,,,,,,,110,,,,5.5,média
Santa Maria Aracatíaçu,156,,17.5,,,,,,,,,,,,,250075,,,,14.29,média
