BACIAS,Ventura,CHPW,Temez,Kirpich,Ven te Chow,Pasini,Picking,Pickering,Bransby Willians,Giandotti,Epsey,Corps Engineers,Dooge
Caxitoré,"21,02","15,77","6,42","6,49","4,34","23,64","4,65","15,79","18,01",,"11,89","4,09","5,25"
Aires de Sousa,"11,96","8,17","4,05","3,36","2,51","12,21","2,63","8,18","10,45",,"8,74","2,58","4,19"
Pacoti,"12,6","10,49","5,06","4,31","3,09","14,09","3,27","10,5","13,97",,"9,82","3,22","4,26"
Croatá,"13,89","8,36","3,88","3,44","2,56","13,63","2,69","8,37","9,77",,"8,84","2,47","4,37"
Jaburu II,"18,33","11,79","4,77","4,85","3,41","19,03","3,62","11,81","12,55",,"10,38","3,04","4,63"
Santo Antônio Aracatiaçu,"11,35","8,34","3,8","3,43","2,55","11,9","2,68","8,35","9,94",,"8,83","2,42","3,62"
Arariús,"8,09","5,33","2,71","2,19","1,76","7,83","1,82","5,34","6,65",,"7,16","1,73","3,13"
Tucunduba,"13,97","7,75","3,13","3,19","2,4","13,24","2,52","7,76","7,62",,"8,53","1,99","3,67"
Acaraú Mirim,"14,83","9,9","3,88","4,07","2,95","15,32","3,11","9,91","10,06",,"9,57","2,47","3,73"
Aracoiaba,"6,26","5,29","2,84","2,18","1,75","6,58","1,81","5,3","7,33",,"7,14","1,81","2,72"
Sítios Novos,"7,6","7,84","3,83","3,22","2,43","8,87","2,54","7,85","10,68",,"8,58","2,44","2,84"
Pompeu Sobrinho,"10,46","6,7","2,77","2,76","2,13","10,25","2,22","6,71","6,85",,"7,97","1,76","2,98"
Jaburu I,"7,23","6,12","2,9","2,52","1,97","7,71","2,05","6,12","7,56",,"7,64","1,85","2,62"
Carão,"5,67","6,36","3,29","2,62","2,04","6,67","2,12","6,37","9,16",,"7,78","2,1","2,4"
Frios,"5,1","4,35","2,31","1,79","1,49","5,27","1,53","4,35","5,84",,"6,51","1,47","2,26"
Baú,"5,58","4,3","2,15","1,77","1,47","5,57","1,51","4,3","5,29",,"6,47","1,37","2,25"
Tejussuoca,"5,66","4,81","2,37","1,98","1,62","5,9","1,66","4,82","6,02",,"6,82","1,51","2,24"
São Mateus,"6,99","7,14","3,22","2,94","2,24","8,06","2,34","7,15","8,82",,"8,21","2,05","2,39"
Realejo,"4,73","4,21","2,2","1,73","1,45","4,94","1,48","4,22","5,59",,"6,41","1,4","2,08"
Acarape do Meio,"4,48","5,26","2,77","2,16","1,74","5,24","1,8","5,26","7,6",,"7,11","1,76","2,01"
Forquilha,"7,49","4,95","2,11","2,04","1,66","7,2","1,71","4,95","5,09",,"6,92","1,35","2,35"
Santa Maria Aracatíaçu,"4,2","3,09","1,59","1,27","1,12","1,26","1,14","3,1","3,75",,"5,55","1,01","1,84"
